time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
9.3999,33600.0,4296061.0,1.07923305,1.02699220,0.05224084,0.11470988,2.96467018,0.50032234,0.40801629,75.92,79.55,3574.5,4318.4
9.4009,33576.0,4329637.0,1.03287363,0.97980797,0.05306563,0.12618162,3.08152556,0.50030428,0.41047978,75.92,79.55,3571.6,4311.2
9.2292,44242.0,4373879.0,1.09336531,1.04170907,0.05165616,0.12708241,2.85395384,0.44754556,0.40585673,75.92,79.55,4793.7,4315.4
9.4164,33599.0,4407478.0,1.26364374,1.21047890,0.05316486,0.16138029,3.02958560,0.50032157,0.42166156,75.92,79.55,3568.1,4307.4
9.3545,46537.0,4454015.0,1.03642905,0.98444605,0.05198300,0.12272867,2.94900870,0.46380329,0.39705843,75.92,79.55,4974.8,4313.3
9.1548,40737.0,4494752.0,0.98470414,0.93242919,0.05227515,0.10660996,2.84062648,0.44163302,0.33263725,75.92,79.55,4449.8,4314.3
9.4759,48281.0,4543033.0,1.16850448,1.11779201,0.05071259,0.13030709,2.50880909,0.48272750,0.42689428,75.92,79.55,5095.2,4321.1
8.9561,51987.0,4595020.0,1.06396341,1.01180518,0.05215821,0.13305807,2.94648623,0.38565683,0.40457401,75.92,79.55,5804.7,4333.4
9.0940,55361.0,4650381.0,1.04599857,0.99398565,0.05201287,0.13262779,2.84674716,0.40055463,0.42223629,75.92,79.55,6087.6,4348.1
9.1925,55768.0,4706149.0,1.09651935,1.04498529,0.05153409,0.10620475,2.87396240,0.41208351,0.38715655,75.92,79.55,6066.7,4362.6
9.3706,46834.0,4752983.0,1.03682113,0.98460346,0.05221752,0.12531544,3.24640250,0.46664679,0.45526001,75.92,79.55,4998.0,4367.8
9.4095,33599.0,4786582.0,1.02004850,0.96806002,0.05198848,0.08853053,2.96257114,0.50032157,0.40757656,75.92,79.55,3570.8,4360.8
9.4022,33600.0,4820182.0,1.15098476,1.09847772,0.05250701,0.13642778,3.08195877,0.50032234,0.46208787,75.92,79.55,3573.6,4353.9
9.4394,49468.0,4869650.0,0.98918998,0.93686348,0.05232645,0.14245646,3.03791237,0.47454768,0.42492178,75.92,79.55,5240.6,4361.2
9.5561,49103.0,4918753.0,1.04019105,0.98899114,0.05120001,0.14342758,2.74453497,0.49360976,0.39156291,75.92,79.55,5138.4,4367.6
9.4096,33600.0,4952353.0,1.03952122,0.98663896,0.05288231,0.10738275,3.31495094,0.50032234,0.37720358,75.92,79.55,3570.8,4360.8
9.4085,33554.0,4985907.0,1.06057358,1.00908101,0.05149252,0.13529530,2.87566900,0.50028867,0.44569233,75.92,79.55,3566.4,4354.1
9.1055,58324.0,5044231.0,1.15430164,1.10347843,0.05082324,0.19809982,2.68806911,0.39884663,0.34032875,75.92,79.55,6405.4,4370.1
9.4792,52113.0,5096344.0,1.09781480,1.04702771,0.05078698,0.12536812,2.77818155,0.46676975,0.36752796,75.92,79.55,5497.6,4379.1
9.1531,40168.0,5136512.0,1.03783715,0.98592722,0.05190987,0.14224535,2.78124428,0.44282934,0.37956792,75.92,79.55,4388.5,4379.0
9.2198,37195.0,5173707.0,1.10408926,1.05182731,0.05226206,0.15422380,2.85206127,0.45887166,0.38145715,75.92,79.55,4034.3,4376.1
9.4587,61502.0,5235209.0,1.10453415,1.05307281,0.05146139,0.12069604,3.00351906,0.44836581,0.33202508,75.92,79.55,6502.2,4392.8
9.4017,33599.0,5268808.0,0.93244278,0.87956434,0.05287835,0.11283724,3.02849579,0.50032157,0.36403540,75.92,79.55,3573.7,4386.2
9.1845,42960.0,5311768.0,0.98696923,0.93507302,0.05189612,0.09937059,2.70194578,0.44272617,0.37486091,75.92,79.55,4677.4,4388.2
9.4054,33600.0,5345368.0,1.05922341,1.00780118,0.05142224,0.09227492,3.00570846,0.50032234,0.38063842,75.92,79.55,3572.4,4381.7
9.3976,33600.0,5378968.0,0.98931968,0.93706316,0.05225650,0.13174742,3.27141261,0.50032234,0.37059429,75.92,79.55,3575.4,4375.4
9.3178,46131.0,5425099.0,1.00626254,0.95431721,0.05194520,0.13249618,2.76957679,0.46021116,0.37778974,75.92,79.55,4950.8,4379.5
9.2716,45205.0,5470304.0,1.00293005,0.95119369,0.05173647,0.12911409,2.91955519,0.45317188,0.36898881,75.92,79.55,4875.7,4383.0
9.5410,48889.0,5519193.0,1.07748020,1.02633810,0.05114215,0.14883879,2.87328029,0.49015459,0.36148670,75.92,79.55,5124.1,4388.5
9.1578,39752.0,5558945.0,0.99530876,0.94335121,0.05195755,0.12254994,3.04023623,0.44409153,0.35640952,75.92,79.55,4340.8,4388.0
9.5669,50595.0,5609540.0,1.09251416,1.04166126,0.05085286,0.11343740,2.86321926,0.47814071,0.36122715,75.92,79.55,5288.5,4394.6
9.4132,33600.0,5643140.0,1.04022408,0.98881108,0.05141294,0.10085690,3.12087989,0.50032234,0.39460400,75.92,79.55,3569.5,4388.3
9.2677,45008.0,5688148.0,0.95651567,0.90472853,0.05178702,0.10095787,3.04271507,0.45187953,0.37320101,75.92,79.55,4856.4,4391.5
9.3111,45837.0,5733985.0,0.98895943,0.93764836,0.05131113,0.12637019,3.00510597,0.45780164,0.34380162,75.92,79.55,4922.8,4395.1
9.4110,33600.0,5767585.0,0.88049531,0.82803822,0.05245706,0.10540214,3.38526034,0.50032234,0.36897582,75.92,79.55,3570.3,4389.1
9.3362,59922.0,5827507.0,0.98910213,0.93824852,0.05085370,0.10368677,2.78465033,0.43420425,0.35959315,75.92,79.55,6418.3,4403.2
9.4035,33600.0,5861107.0,1.07114720,1.02005386,0.05109322,0.10918545,2.97256804,0.50032234,0.37694794,75.92,79.55,3573.1,4397.2
9.4095,33598.0,5894705.0,0.99284250,0.94026387,0.05257860,0.14147052,3.50185776,0.50032079,0.36019829,75.92,79.55,3570.7,4391.2
9.4122,47329.0,5942034.0,1.02370989,0.97258478,0.05112508,0.13208897,2.77760553,0.47169420,0.37221813,75.92,79.55,5028.5,4395.5
9.2566,44818.0,5986852.0,1.05837870,1.00747979,0.05089876,0.14686711,2.72359896,0.45070681,0.38952968,75.92,79.55,4841.7,4398.4
8.9978,53453.0,6040305.0,1.07186317,1.02165735,0.05020582,0.12923539,2.63455153,0.38950583,0.34494951,75.92,79.55,5940.7,4408.3
9.4036,33600.0,6073905.0,0.94168425,0.89017493,0.05150929,0.11971508,3.01656413,0.50032234,0.37766495,75.92,79.55,3573.1,4402.5
9.3343,54780.0,6128685.0,1.08185101,1.03172255,0.05012851,0.09884933,2.46527815,0.44063070,0.33561516,75.92,79.55,5868.7,4412.2
9.4043,33600.0,6162285.0,1.15882444,1.10717857,0.05164582,0.11638495,3.16253805,0.50032234,0.37794498,75.92,79.55,3572.9,4406.4
9.5304,48780.0,6211065.0,1.02473450,0.97295380,0.05178067,0.13493758,3.17057896,0.48918200,0.34077775,75.92,79.55,5118.3,4411.0
9.6996,64532.0,6275597.0,1.09563911,1.04574478,0.04989448,0.13347606,2.64484739,0.48613504,0.31400251,75.92,79.55,6653.1,4426.2
9.3981,33600.0,6309197.0,1.03918338,0.98796743,0.05121589,0.10032993,2.72336078,0.50032234,0.36889997,75.92,79.55,3575.2,4420.5
9.2420,44485.0,6353682.0,1.09547758,1.04507434,0.05040329,0.13878478,2.63298368,0.44878268,0.34699729,75.92,79.55,4813.4,4422.8
9.5940,49323.0,6403005.0,1.01137996,0.95972300,0.05165703,0.10910682,2.92317915,0.49673575,0.30665669,75.92,79.55,5141.0,4427.4
9.3131,53356.0,6456361.0,1.05538654,1.00472510,0.05066139,0.12635405,2.72105289,0.43976846,0.32643813,75.92,79.55,5729.2,4435.6
9.0626,55069.0,6511430.0,1.01413119,0.96289718,0.05123407,0.11345603,2.90386868,0.39608538,0.44982135,75.92,79.55,6076.5,4445.6
9.4179,47606.0,6559036.0,0.95202029,0.90049416,0.05152604,0.12411305,3.22923231,0.47475591,0.33226338,75.92,79.55,5054.8,4449.4
9.4093,33600.0,6592636.0,1.01430547,0.96346623,0.05083921,0.10705977,2.90941429,0.50032234,0.37178028,75.92,79.55,3570.9,4443.6
9.3980,33600.0,6626236.0,0.98834503,0.93697935,0.05136552,0.12061830,3.23337317,0.50032234,0.36477935,75.92,79.55,3575.2,4437.3
