time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
7.8710,33600.0,5861107.0,1.14702654,1.09879982,0.04822662,0.11864261,0.63400263,0.50032234,0.39032382,96.27,114.70,4268.8,5422.0
7.8864,33598.0,5894705.0,1.06897116,1.02070343,0.04826766,0.15219605,0.66568828,0.50032079,0.37067887,96.27,114.70,4260.3,5413.3
7.8668,47329.0,5942034.0,1.09797966,1.05006611,0.04791343,0.14159724,0.60793531,0.47169420,0.36176220,96.27,114.70,6016.3,5417.4
7.7299,44818.0,5986852.0,1.13585007,1.08762789,0.04822224,0.15700142,0.94969273,0.45070681,0.36275700,96.27,114.70,5798.0,5419.8
7.4871,53453.0,6040305.0,1.14780569,1.10001099,0.04779459,0.14063284,0.65084898,0.38950583,0.32534286,96.27,114.70,7139.4,5431.2
7.8776,33600.0,6073905.0,1.02211356,0.97350848,0.04860508,0.13036600,0.56665725,0.50032234,0.41982672,96.27,114.70,4265.3,5422.7
7.8122,54780.0,6128685.0,1.16134536,1.11301136,0.04833404,0.10977843,0.87916249,0.44063070,0.36776012,96.27,114.70,7012.1,5433.5
7.8840,33600.0,6162285.0,1.24198437,1.19368255,0.04830193,0.12786986,1.18766403,0.50032234,0.40499052,96.27,114.70,4261.8,5425.1
8.0130,48780.0,6211065.0,1.10283053,1.05442464,0.04840591,0.14561248,0.60299611,0.48918200,0.33911133,96.27,114.70,6087.6,5429.5
8.1620,64532.0,6275597.0,1.17645717,1.12839127,0.04806592,0.14400783,0.74484080,0.48613504,0.33338282,96.27,114.79,7906.4,5446.8
7.8795,33600.0,6309197.0,1.11851203,1.06937230,0.04913959,0.10984039,0.99396199,0.50032234,0.38003126,96.27,114.79,4264.3,5438.5
7.7058,44485.0,6353682.0,1.17650032,1.12815464,0.04834578,0.14922522,0.51497978,0.44878268,0.34323439,96.27,114.79,5772.9,5440.5
8.0586,49323.0,6403005.0,1.09509540,1.04629433,0.04880100,0.11929838,0.59245598,0.49673575,0.32640943,96.27,114.79,6120.5,5444.9
7.7922,53356.0,6456361.0,1.13704848,1.08822763,0.04882091,0.13662878,0.61467469,0.43976846,0.38380122,96.27,114.79,6847.3,5453.9
7.5344,55069.0,6511430.0,1.08727443,1.03862584,0.04864851,0.12335309,0.63491964,0.39608538,0.34600785,96.27,114.79,7309.0,5465.4
7.9017,47606.0,6559036.0,1.02776361,0.97859561,0.04916810,0.13480178,0.58549112,0.47475591,0.32751560,96.27,114.79,6024.8,5468.9
7.8839,33600.0,6592636.0,1.09300399,1.04424894,0.04875502,0.11714694,0.60597110,0.50032234,0.35912699,96.27,114.79,4261.8,5460.7
7.8703,33600.0,6626236.0,1.06684077,1.01820672,0.04863390,0.13108608,0.54186636,0.50032234,0.36960286,96.27,114.79,4269.2,5450.9
7.7203,44722.0,6670958.0,1.03407848,0.98546886,0.04860964,0.12099910,0.50566649,0.45013195,0.31226936,96.27,114.79,5792.8,5452.8
8.1229,64084.0,6735042.0,1.06172788,1.01336253,0.04836530,0.13813287,0.48086089,0.48015556,0.30812642,96.27,114.79,7889.3,5468.7
7.9678,48054.0,6783096.0,1.29643989,1.24787700,0.04856297,0.15947230,1.28601456,0.47994405,0.36483049,96.27,114.79,6031.1,5472.0
7.7451,45281.0,6828377.0,1.05592692,1.00759828,0.04832867,0.10033691,0.86239731,0.45370543,0.32444388,96.27,114.79,5846.4,5474.1
8.0749,49418.0,6877795.0,1.14106846,1.09295177,0.04811671,0.13463768,0.60136199,0.49811351,0.35346907,96.27,114.79,6120.0,5478.1
7.8832,33601.0,6911396.0,1.14314890,1.09462273,0.04852605,0.16357654,0.61837566,0.50032312,0.35280433,96.27,114.79,4262.4,5470.3
7.7722,51110.0,6962506.0,1.12343168,1.07461691,0.04881481,0.12375028,0.87683028,0.43878278,0.33850110,96.27,114.79,6576.0,5476.8
7.8890,33600.0,6996106.0,1.39780438,1.34869337,0.04911098,0.16509031,1.66974449,0.50032234,0.39170867,96.27,114.79,4259.1,5469.1
7.7089,58351.0,7054457.0,1.20552444,1.15748107,0.04804346,0.15068385,0.79202747,0.41777605,0.35192516,96.27,114.79,7569.3,5481.4
7.4559,44807.0,7099264.0,1.07816398,1.02938986,0.04877409,0.12327452,0.85790837,0.39809030,0.31374577,96.27,114.79,6009.6,5484.3
8.0050,48595.0,7147859.0,1.07243180,1.02379310,0.04863871,0.13158260,0.57146513,0.48673591,0.31562418,96.27,114.79,6070.5,5487.6
7.8898,33600.0,7181459.0,1.15134108,1.10310352,0.04823765,0.14864740,0.86999106,0.50032234,0.36053193,96.27,114.79,4258.7,5480.0
